candidato,retweetTimesNegativity,retweetTotal,creacion,numSemana
Adrian de la Garza,0,21,01/03/21,10
Adrian de la Garza,0,21,01/03/21,10
Adrian de la Garza,0,24,01/03/21,10
Adrian de la Garza,0.451,1,01/03/21,10
Adrian de la Garza,0,19,01/03/21,10
Adrian de la Garza,0.876,3,01/03/21,10
Adrian de la Garza,0,19,01/03/21,10
Adrian de la Garza,0,19,01/03/21,10
Adrian de la Garza,0,19,01/03/21,10
Adrian de la Garza,0,20,01/03/21,10
Adrian de la Garza,0,0,01/03/21,10
Adrian de la Garza,0,2,01/03/21,10
Adrian de la Garza,0,29,01/03/21,10
Adrian de la Garza,0,0,02/03/21,10
Adrian de la Garza,0,29,02/03/21,10
Adrian de la Garza,3.654,21,02/03/21,10
Adrian de la Garza,0,32,02/03/21,10
Adrian de la Garza,0,32,02/03/21,10
Adrian de la Garza,0,7,02/03/21,10
Adrian de la Garza,0.079,1,02/03/21,10
Adrian de la Garza,0,0,02/03/21,10
Adrian de la Garza,0,3,02/03/21,10
Adrian de la Garza,0,0,02/03/21,10
Adrian de la Garza,0,0,03/03/21,10
Adrian de la Garza,0,1,03/03/21,10
Adrian de la Garza,0.169,1,03/03/21,10
Adrian de la Garza,0,0,03/03/21,10
Adrian de la Garza,0,0,03/03/21,10
Adrian de la Garza,1.51,5,03/03/21,10
Adrian de la Garza,0,2,03/03/21,10
Adrian de la Garza,0,22,03/03/21,10
Adrian de la Garza,0,2,03/03/21,10
Adrian de la Garza,0,15,03/03/21,10
Adrian de la Garza,0,15,03/03/21,10
Adrian de la Garza,0,24,03/03/21,10
Adrian de la Garza,0.738,6,03/03/21,10
Adrian de la Garza,0.128,1,03/03/21,10
Adrian de la Garza,0,18,03/03/21,10
Adrian de la Garza,0.738,6,03/03/21,10
Adrian de la Garza,0,0,03/03/21,10
Adrian de la Garza,0,18,03/03/21,10
Adrian de la Garza,3,20,03/03/21,10
Adrian de la Garza,0,5,04/03/21,10
Adrian de la Garza,0,5,04/03/21,10
Adrian de la Garza,0,20,04/03/21,10
Adrian de la Garza,0,5,04/03/21,10
Adrian de la Garza,0,0,04/03/21,10
Adrian de la Garza,0,27,04/03/21,10
Adrian de la Garza,0,27,04/03/21,10
Adrian de la Garza,0,14,04/03/21,10
Adrian de la Garza,0,21,04/03/21,10
Adrian de la Garza,0,18,04/03/21,10
Adrian de la Garza,0,21,04/03/21,10
Adrian de la Garza,0,0,04/03/21,10
Adrian de la Garza,0,0,04/03/21,10
Adrian de la Garza,0,2,04/03/21,10
Adrian de la Garza,0,0,04/03/21,10
Adrian de la Garza,0,2,05/03/21,10
Adrian de la Garza,0.214,2,05/03/21,10
Adrian de la Garza,0,21,05/03/21,10
Adrian de la Garza,0,6,05/03/21,10
Adrian de la Garza,0,0,05/03/21,10
Adrian de la Garza,0,6,05/03/21,10
Adrian de la Garza,0,47,05/03/21,10
Adrian de la Garza,0,0,05/03/21,10
Adrian de la Garza,0,47,05/03/21,10
Adrian de la Garza,0,2,05/03/21,10
Adrian de la Garza,0,1,05/03/21,10
Adrian de la Garza,4.774,31,05/03/21,10
Adrian de la Garza,0,8,05/03/21,10
Adrian de la Garza,61.88,136,05/03/21,10
Adrian de la Garza,0,0,05/03/21,10
Adrian de la Garza,4.774,31,05/03/21,10
Adrian de la Garza,0,0,05/03/21,10
Adrian de la Garza,0.136,2,05/03/21,10
Adrian de la Garza,0,47,05/03/21,10
Adrian de la Garza,0,0,05/03/21,10
Adrian de la Garza,0.154,2,05/03/21,10
Adrian de la Garza,0,0,05/03/21,10
Adrian de la Garza,0,0,05/03/21,10
Adrian de la Garza,0,0,05/03/21,10
Adrian de la Garza,6.758,31,05/03/21,10
Adrian de la Garza,0,0,05/03/21,10
Adrian de la Garza,0,1,05/03/21,10
Adrian de la Garza,0,150,05/03/21,10
Adrian de la Garza,3.036,44,05/03/21,10
Adrian de la Garza,0,0,05/03/21,10
Adrian de la Garza,0.107,1,05/03/21,10
Adrian de la Garza,0,0,05/03/21,10
Adrian de la Garza,0.069,1,05/03/21,10
Adrian de la Garza,3.036,44,05/03/21,10
Adrian de la Garza,0,0,05/03/21,10
Adrian de la Garza,3.036,44,05/03/21,10
Adrian de la Garza,0,0,05/03/21,10
Adrian de la Garza,0,0,05/03/21,10
Adrian de la Garza,0,0,05/03/21,10
Adrian de la Garza,3.036,44,05/03/21,10
Adrian de la Garza,0,47,05/03/21,10
Adrian de la Garza,0,0,05/03/21,10
Adrian de la Garza,0.288,3,05/03/21,10
Adrian de la Garza,0,0,05/03/21,10
Adrian de la Garza,0,12,05/03/21,10
Adrian de la Garza,0,0,05/03/21,10
Adrian de la Garza,14.904,81,05/03/21,10
Adrian de la Garza,22.356,81,05/03/21,10
Adrian de la Garza,1.292,19,05/03/21,10
Adrian de la Garza,0,4,05/03/21,10
Adrian de la Garza,0,0,05/03/21,10
Adrian de la Garza,0,1,05/03/21,10
Adrian de la Garza,0,1,05/03/21,10
Adrian de la Garza,0,0,05/03/21,10
Adrian de la Garza,22.356,81,05/03/21,10
Adrian de la Garza,0,0,05/03/21,10
Adrian de la Garza,22.356,81,05/03/21,10
Adrian de la Garza,7.015,23,05/03/21,10
Adrian de la Garza,0,17,05/03/21,10
Adrian de la Garza,1.158,6,05/03/21,10
Adrian de la Garza,0,0,05/03/21,10
Adrian de la Garza,0,0,05/03/21,10
Adrian de la Garza,3.72,20,05/03/21,10
Adrian de la Garza,0,0,05/03/21,10
Adrian de la Garza,0,0,05/03/21,10
Adrian de la Garza,22.356,81,05/03/21,10
Adrian de la Garza,22.356,81,05/03/21,10
Adrian de la Garza,0,5,05/03/21,10
Adrian de la Garza,0,47,05/03/21,10
Adrian de la Garza,0,0,05/03/21,10
Adrian de la Garza,0,4,05/03/21,10
Adrian de la Garza,0,0,05/03/21,10
Adrian de la Garza,0,0,05/03/21,10
Adrian de la Garza,0,0,05/03/21,10
Adrian de la Garza,0,0,05/03/21,10
Adrian de la Garza,0,0,05/03/21,10
Adrian de la Garza,0,150,05/03/21,10
Adrian de la Garza,0,0,05/03/21,10
Adrian de la Garza,0,38,05/03/21,10
Adrian de la Garza,0,0,05/03/21,10
Adrian de la Garza,0,19,05/03/21,10
Adrian de la Garza,0,0,05/03/21,10
Adrian de la Garza,0,0,05/03/21,10
Adrian de la Garza,0,0,05/03/21,10
Adrian de la Garza,0,0,05/03/21,10
Adrian de la Garza,0,0,05/03/21,10
Adrian de la Garza,0,0,05/03/21,10
Adrian de la Garza,0,47,05/03/21,10
Adrian de la Garza,0,0,05/03/21,10
Adrian de la Garza,0,2,05/03/21,10
Adrian de la Garza,0,0,05/03/21,10
Adrian de la Garza,0,0,05/03/21,10
Adrian de la Garza,0,0,05/03/21,10
Adrian de la Garza,0,0,05/03/21,10
Adrian de la Garza,0,0,05/03/21,10
Adrian de la Garza,0,0,05/03/21,10
Adrian de la Garza,0,31,05/03/21,10
Adrian de la Garza,5.018,26,05/03/21,10
Adrian de la Garza,0,34,06/03/21,10
Adrian de la Garza,0,0,06/03/21,10
Adrian de la Garza,0,0,06/03/21,10
Adrian de la Garza,0,0,06/03/21,10
Adrian de la Garza,0,0,06/03/21,10
Adrian de la Garza,0,34,06/03/21,10
Adrian de la Garza,0,4,06/03/21,10
Adrian de la Garza,7.015,23,06/03/21,10
Adrian de la Garza,0,0,06/03/21,10
Adrian de la Garza,0,0,06/03/21,10
Adrian de la Garza,0,0,06/03/21,10
Adrian de la Garza,0,21,06/03/21,10
Adrian de la Garza,0,0,06/03/21,10
Adrian de la Garza,0,1,06/03/21,10
Adrian de la Garza,0,19,06/03/21,10
Adrian de la Garza,0,3,06/03/21,10
Adrian de la Garza,0,26,06/03/21,10
Adrian de la Garza,0,2,06/03/21,10
Adrian de la Garza,0,43,06/03/21,10
Adrian de la Garza,0,43,06/03/21,10
Adrian de la Garza,0,0,06/03/21,10
Adrian de la Garza,1.158,6,06/03/21,10
Adrian de la Garza,0,0,06/03/21,10
Adrian de la Garza,0.179,1,06/03/21,10
Adrian de la Garza,0,20,06/03/21,10
Adrian de la Garza,0,31,06/03/21,10
Adrian de la Garza,0,0,06/03/21,10
Adrian de la Garza,0,20,06/03/21,10
Adrian de la Garza,0,0,06/03/21,10
Adrian de la Garza,0,35,06/03/21,10
Adrian de la Garza,0,0,06/03/21,10
Adrian de la Garza,1.175,25,06/03/21,10
Adrian de la Garza,0,27,06/03/21,10
Adrian de la Garza,0,0,06/03/21,10
Adrian de la Garza,0,35,06/03/21,10
Adrian de la Garza,0,150,06/03/21,10
Adrian de la Garza,0,0,06/03/21,10
Adrian de la Garza,1.175,25,06/03/21,10
Adrian de la Garza,0,47,06/03/21,10
Adrian de la Garza,0,0,06/03/21,10
Adrian de la Garza,0,0,06/03/21,10
Adrian de la Garza,0,4,06/03/21,10
Adrian de la Garza,0,27,06/03/21,10
Adrian de la Garza,0,0,06/03/21,10
Adrian de la Garza,0,43,06/03/21,10
Adrian de la Garza,0,0,06/03/21,10
Adrian de la Garza,0,20,06/03/21,10
Adrian de la Garza,0,35,07/03/21,11
Adrian de la Garza,0,0,07/03/21,11
Adrian de la Garza,0,0,07/03/21,11
Adrian de la Garza,0,41,07/03/21,11
Adrian de la Garza,0,0,07/03/21,11
Adrian de la Garza,0,22,07/03/21,11
Adrian de la Garza,0,20,07/03/21,11
Adrian de la Garza,0,0,07/03/21,11
Adrian de la Garza,0,0,07/03/21,11
Adrian de la Garza,0,20,07/03/21,11
Adrian de la Garza,0.768,6,07/03/21,11
Adrian de la Garza,22.356,81,07/03/21,11
Adrian de la Garza,1.436,4,07/03/21,11
Adrian de la Garza,0,22,07/03/21,11
Adrian de la Garza,0,0,07/03/21,11
Adrian de la Garza,0,0,07/03/21,11
Adrian de la Garza,0,11,07/03/21,11
Adrian de la Garza,0,47,07/03/21,11
Adrian de la Garza,0,36,07/03/21,11
Adrian de la Garza,0,0,07/03/21,11
Adrian de la Garza,0,0,07/03/21,11
Adrian de la Garza,0,0,07/03/21,11
Adrian de la Garza,0,0,07/03/21,11
Adrian de la Garza,2.6,26,07/03/21,11
Adrian de la Garza,0.868,7,07/03/21,11
Adrian de la Garza,1.353,41,08/03/21,11
Adrian de la Garza,0,3,08/03/21,11
Adrian de la Garza,0,3,08/03/21,11
Adrian de la Garza,0,3,08/03/21,11
Adrian de la Garza,0,53,08/03/21,11
Adrian de la Garza,3.034,41,08/03/21,11
Adrian de la Garza,0.071,1,08/03/21,11
Adrian de la Garza,0,0,08/03/21,11
Adrian de la Garza,0,0,08/03/21,11
Adrian de la Garza,0,0,08/03/21,11
Adrian de la Garza,0.072,3,08/03/21,11
Adrian de la Garza,0,0,08/03/21,11
Adrian de la Garza,0,0,08/03/21,11
Adrian de la Garza,2.599,23,08/03/21,11
Adrian de la Garza,0,28,08/03/21,11
Adrian de la Garza,2.574,66,08/03/21,11
Adrian de la Garza,0,28,08/03/21,11
Adrian de la Garza,0,0,08/03/21,11
Adrian de la Garza,0,5,08/03/21,11
Adrian de la Garza,0,19,08/03/21,11
Adrian de la Garza,0,40,08/03/21,11
Adrian de la Garza,0,19,08/03/21,11
Adrian de la Garza,0,3,08/03/21,11
Adrian de la Garza,0,0,08/03/21,11
Adrian de la Garza,0,22,08/03/21,11
Adrian de la Garza,0,40,08/03/21,11
Adrian de la Garza,0,0,08/03/21,11
Adrian de la Garza,0,22,08/03/21,11
Adrian de la Garza,0,40,08/03/21,11
Adrian de la Garza,0,22,08/03/21,11
Adrian de la Garza,0,40,09/03/21,11
Adrian de la Garza,0,25,09/03/21,11
Adrian de la Garza,0,0,09/03/21,11
Adrian de la Garza,0,0,09/03/21,11
Adrian de la Garza,4.176,58,09/03/21,11
Adrian de la Garza,0,0,09/03/21,11
Adrian de la Garza,4.176,58,09/03/21,11
Adrian de la Garza,4.176,58,09/03/21,11
Adrian de la Garza,0,0,09/03/21,11
Adrian de la Garza,0,0,09/03/21,11
Adrian de la Garza,4.8,80,09/03/21,11
Adrian de la Garza,4.8,80,09/03/21,11
Adrian de la Garza,0,1,09/03/21,11
Adrian de la Garza,0,34,09/03/21,11
Adrian de la Garza,0,34,09/03/21,11
Adrian de la Garza,0,0,09/03/21,11
Adrian de la Garza,4.8,80,09/03/21,11
Adrian de la Garza,4.176,58,09/03/21,11
Adrian de la Garza,0,20,09/03/21,11
Adrian de la Garza,0,67,09/03/21,11
Adrian de la Garza,1.15,25,10/03/21,11
Adrian de la Garza,0,44,10/03/21,11
Adrian de la Garza,0,44,10/03/21,11
Adrian de la Garza,0,0,10/03/21,11
Adrian de la Garza,0,0,10/03/21,11
Adrian de la Garza,0,95,10/03/21,11
Adrian de la Garza,0,44,10/03/21,11
Adrian de la Garza,0,7,10/03/21,11
Adrian de la Garza,0,0,10/03/21,11
Adrian de la Garza,0,95,10/03/21,11
Adrian de la Garza,0.156,1,10/03/21,11
Adrian de la Garza,0,0,10/03/21,11
Adrian de la Garza,0.172,1,10/03/21,11
Adrian de la Garza,0,95,10/03/21,11
Adrian de la Garza,0,1,10/03/21,11
Adrian de la Garza,0,67,10/03/21,11
Adrian de la Garza,0,35,10/03/21,11
Adrian de la Garza,0,23,10/03/21,11
Adrian de la Garza,1.15,25,10/03/21,11
Adrian de la Garza,0,28,10/03/21,11
Adrian de la Garza,1.008,16,10/03/21,11
Adrian de la Garza,0,4,10/03/21,11
Adrian de la Garza,0.93,3,10/03/21,11
Adrian de la Garza,0,15,10/03/21,11
Adrian de la Garza,0.394,2,10/03/21,11
Adrian de la Garza,0,0,10/03/21,11
Adrian de la Garza,0,53,10/03/21,11
Adrian de la Garza,0,0,10/03/21,11
Adrian de la Garza,0,53,10/03/21,11
Adrian de la Garza,0,13,10/03/21,11
Adrian de la Garza,0,45,10/03/21,11
Adrian de la Garza,0,45,10/03/21,11
Adrian de la Garza,0,23,10/03/21,11
Adrian de la Garza,0,23,10/03/21,11
Adrian de la Garza,0,0,10/03/21,11
Adrian de la Garza,0,0,10/03/21,11
Adrian de la Garza,0,55,10/03/21,11
Adrian de la Garza,0,6,10/03/21,11
Adrian de la Garza,0,55,10/03/21,11
Adrian de la Garza,0,0,10/03/21,11
Adrian de la Garza,0,31,11/03/21,11
Adrian de la Garza,0,38,11/03/21,11
Adrian de la Garza,0,38,11/03/21,11
Adrian de la Garza,0,0,11/03/21,11
Adrian de la Garza,0,24,11/03/21,11
Adrian de la Garza,0,3,11/03/21,11
Adrian de la Garza,0.116,1,11/03/21,11
Adrian de la Garza,0,2,11/03/21,11
Adrian de la Garza,1.15,25,11/03/21,11
Adrian de la Garza,0,20,11/03/21,11
Adrian de la Garza,0,38,11/03/21,11
Adrian de la Garza,0,24,11/03/21,11
Adrian de la Garza,0,38,11/03/21,11
Adrian de la Garza,0,0,11/03/21,11
Adrian de la Garza,0,33,11/03/21,11
Adrian de la Garza,0,0,11/03/21,11
Adrian de la Garza,0,0,11/03/21,11
Adrian de la Garza,0,0,11/03/21,11
Adrian de la Garza,0,33,11/03/21,11
Adrian de la Garza,0,2,11/03/21,11
Adrian de la Garza,0,4,11/03/21,11
Adrian de la Garza,0,2,11/03/21,11
Adrian de la Garza,0,1,11/03/21,11
Adrian de la Garza,0,0,11/03/21,11
Adrian de la Garza,0,1,11/03/21,11
Adrian de la Garza,0,55,11/03/21,11
Adrian de la Garza,0,1,11/03/21,11
Adrian de la Garza,0,3,11/03/21,11
Adrian de la Garza,0,37,11/03/21,11
Adrian de la Garza,0,1,11/03/21,11
Adrian de la Garza,7.56,54,11/03/21,11
Adrian de la Garza,0,0,11/03/21,11
Adrian de la Garza,0,0,11/03/21,11
Adrian de la Garza,0,0,11/03/21,11
Adrian de la Garza,7.56,54,12/03/21,11
Adrian de la Garza,0,25,12/03/21,11
Adrian de la Garza,0,5,12/03/21,11
Adrian de la Garza,0,0,12/03/21,11
Adrian de la Garza,0,55,12/03/21,11
Adrian de la Garza,0,55,12/03/21,11
Adrian de la Garza,2.45,49,12/03/21,11
Adrian de la Garza,0,1,12/03/21,11
Adrian de la Garza,0,50,12/03/21,11
Adrian de la Garza,0,20,12/03/21,11
Adrian de la Garza,2.45,49,12/03/21,11
Adrian de la Garza,0,0,12/03/21,11
Adrian de la Garza,2.45,49,12/03/21,11
Adrian de la Garza,0,23,12/03/21,11
Adrian de la Garza,0,0,12/03/21,11
Adrian de la Garza,0,0,12/03/21,11
Adrian de la Garza,0,41,12/03/21,11
Adrian de la Garza,0,0,12/03/21,11
Adrian de la Garza,2.45,49,12/03/21,11
Adrian de la Garza,0,37,12/03/21,11
Adrian de la Garza,0,35,12/03/21,11
Adrian de la Garza,0.242,1,12/03/21,11
Adrian de la Garza,0,0,12/03/21,11
Adrian de la Garza,0,44,12/03/21,11
Adrian de la Garza,0,27,12/03/21,11
Adrian de la Garza,0,20,12/03/21,11
Adrian de la Garza,0,0,12/03/21,11
Adrian de la Garza,0,20,12/03/21,11
Adrian de la Garza,0,1,12/03/21,11
Adrian de la Garza,0,0,12/03/21,11
Adrian de la Garza,0,0,12/03/21,11
Adrian de la Garza,0,24,12/03/21,11
Adrian de la Garza,0.191,1,13/03/21,11
Adrian de la Garza,0,0,13/03/21,11
Adrian de la Garza,0,0,13/03/21,11
Adrian de la Garza,0.231,3,13/03/21,11
Adrian de la Garza,0.456,2,13/03/21,11
Adrian de la Garza,0,0,13/03/21,11
Adrian de la Garza,0,0,13/03/21,11
Adrian de la Garza,0,0,13/03/21,11
Adrian de la Garza,0,41,13/03/21,11
Adrian de la Garza,0,41,13/03/21,11
Adrian de la Garza,0,0,13/03/21,11
Adrian de la Garza,0,35,13/03/21,11
Adrian de la Garza,0,0,13/03/21,11
Adrian de la Garza,0,0,13/03/21,11
Adrian de la Garza,0,0,13/03/21,11
Adrian de la Garza,0,38,13/03/21,11
Adrian de la Garza,0,0,13/03/21,11
Adrian de la Garza,0,38,13/03/21,11
Adrian de la Garza,0,21,13/03/21,11
Adrian de la Garza,0,38,13/03/21,11
Adrian de la Garza,0,0,13/03/21,11
Adrian de la Garza,0,38,13/03/21,11
Adrian de la Garza,0,2,13/03/21,11
Adrian de la Garza,0,0,13/03/21,11
Adrian de la Garza,0,3,13/03/21,11
Adrian de la Garza,0,47,13/03/21,11
Adrian de la Garza,0,47,13/03/21,11
Adrian de la Garza,0,3,13/03/21,11
Adrian de la Garza,0,20,13/03/21,11
Adrian de la Garza,0,0,13/03/21,11
Adrian de la Garza,0,30,13/03/21,11
Adrian de la Garza,0,38,13/03/21,11
Adrian de la Garza,0,0,13/03/21,11
Adrian de la Garza,0,47,13/03/21,11
Adrian de la Garza,0,40,13/03/21,11
Adrian de la Garza,0,40,13/03/21,11
Adrian de la Garza,26.832,39,13/03/21,11
Adrian de la Garza,0,0,13/03/21,11
Adrian de la Garza,0,0,13/03/21,11
Adrian de la Garza,1.422,18,13/03/21,11
Adrian de la Garza,0,0,13/03/21,11
Adrian de la Garza,0,0,13/03/21,11
Adrian de la Garza,0,0,14/03/21,12
Adrian de la Garza,26.832,39,14/03/21,12
Adrian de la Garza,0,30,14/03/21,12
Adrian de la Garza,0.078,1,14/03/21,12
Adrian de la Garza,0,30,14/03/21,12
Adrian de la Garza,0,30,14/03/21,12
Adrian de la Garza,0,30,14/03/21,12
Adrian de la Garza,0,0,14/03/21,12
Adrian de la Garza,0,0,14/03/21,12
Adrian de la Garza,7.434,42,14/03/21,12
Adrian de la Garza,0,1,14/03/21,12
Adrian de la Garza,0,40,14/03/21,12
Adrian de la Garza,0,42,14/03/21,12
Adrian de la Garza,0,0,14/03/21,12
Adrian de la Garza,0,0,14/03/21,12
Adrian de la Garza,0,14,14/03/21,12
Adrian de la Garza,0,22,14/03/21,12
Adrian de la Garza,0,0,14/03/21,12
Adrian de la Garza,0,2,14/03/21,12
Adrian de la Garza,1.326,26,14/03/21,12
Adrian de la Garza,0,0,14/03/21,12
Adrian de la Garza,0,4,14/03/21,12
Adrian de la Garza,0,1,14/03/21,12
Adrian de la Garza,0,0,14/03/21,12
Adrian de la Garza,0,7,14/03/21,12
Adrian de la Garza,0,28,14/03/21,12
Adrian de la Garza,0,21,14/03/21,12
Adrian de la Garza,0,0,14/03/21,12
Adrian de la Garza,0,21,14/03/21,12
Adrian de la Garza,0,21,14/03/21,12
Adrian de la Garza,0,82,14/03/21,12
Adrian de la Garza,0,7,14/03/21,12
Adrian de la Garza,0,34,15/03/21,12
Adrian de la Garza,0,1,15/03/21,12
Adrian de la Garza,0,29,15/03/21,12
Adrian de la Garza,0,82,15/03/21,12
Adrian de la Garza,0,1,15/03/21,12
Adrian de la Garza,0,0,15/03/21,12
Adrian de la Garza,0,0,15/03/21,12
Adrian de la Garza,0,1,15/03/21,12
Adrian de la Garza,0,13,15/03/21,12
Adrian de la Garza,0,0,15/03/21,12
Adrian de la Garza,0.333,3,15/03/21,12
Adrian de la Garza,0,0,15/03/21,12
Adrian de la Garza,0,0,15/03/21,12
Adrian de la Garza,0.078,1,15/03/21,12
Adrian de la Garza,0,2,15/03/21,12
Adrian de la Garza,0,0,15/03/21,12
Adrian de la Garza,0,0,15/03/21,12
Adrian de la Garza,5.109,39,15/03/21,12
Adrian de la Garza,0,2,15/03/21,12
Adrian de la Garza,5.109,39,15/03/21,12
Adrian de la Garza,0,0,15/03/21,12
Adrian de la Garza,0,2,15/03/21,12
Adrian de la Garza,0,23,15/03/21,12
Adrian de la Garza,0,1,15/03/21,12
Adrian de la Garza,0.11,2,15/03/21,12
Adrian de la Garza,0,6,15/03/21,12
Adrian de la Garza,0,23,16/03/21,12
Adrian de la Garza,0,1,16/03/21,12
Adrian de la Garza,0,0,16/03/21,12
Adrian de la Garza,0,23,16/03/21,12
Adrian de la Garza,0,4,16/03/21,12
Adrian de la Garza,0,36,16/03/21,12
Adrian de la Garza,0,4,16/03/21,12
Adrian de la Garza,0,0,16/03/21,12
Adrian de la Garza,0,29,16/03/21,12
Adrian de la Garza,0,0,16/03/21,12
Adrian de la Garza,0,0,16/03/21,12
Adrian de la Garza,0,0,16/03/21,12
Adrian de la Garza,0,0,16/03/21,12
Adrian de la Garza,0,36,16/03/21,12
Adrian de la Garza,0,0,16/03/21,12
Adrian de la Garza,0,4,16/03/21,12
Adrian de la Garza,0,26,16/03/21,12
Adrian de la Garza,0,0,16/03/21,12
Adrian de la Garza,0,0,16/03/21,12
Adrian de la Garza,0,24,16/03/21,12
Adrian de la Garza,0,0,16/03/21,12
Adrian de la Garza,0,6,16/03/21,12
Adrian de la Garza,0,0,16/03/21,12
Adrian de la Garza,0.14,1,16/03/21,12
Adrian de la Garza,0,26,16/03/21,12
Adrian de la Garza,0.328,4,16/03/21,12
Adrian de la Garza,16.3,100,16/03/21,12
Adrian de la Garza,16.3,100,16/03/21,12
Adrian de la Garza,16.3,100,16/03/21,12
Adrian de la Garza,16.3,100,16/03/21,12
Adrian de la Garza,16.3,100,16/03/21,12
Adrian de la Garza,0,0,16/03/21,12
Adrian de la Garza,0,0,16/03/21,12
Adrian de la Garza,16.3,100,16/03/21,12
Adrian de la Garza,0,2,16/03/21,12
Adrian de la Garza,0,11,16/03/21,12
Adrian de la Garza,0,11,16/03/21,12
Adrian de la Garza,0,28,16/03/21,12
Adrian de la Garza,16.3,100,16/03/21,12
Adrian de la Garza,0,0,16/03/21,12
Adrian de la Garza,16.3,100,16/03/21,12
Adrian de la Garza,5.688,36,16/03/21,12
Adrian de la Garza,0.536,4,17/03/21,12
Adrian de la Garza,0,0,17/03/21,12
Adrian de la Garza,0,44,17/03/21,12
Adrian de la Garza,9.792,96,17/03/21,12
Adrian de la Garza,9.792,96,17/03/21,12
Adrian de la Garza,0,4,17/03/21,12
Adrian de la Garza,9.792,96,17/03/21,12
Adrian de la Garza,0,44,17/03/21,12
Adrian de la Garza,0,24,17/03/21,12
Adrian de la Garza,9.792,96,17/03/21,12
Adrian de la Garza,0,23,17/03/21,12
Adrian de la Garza,0,23,17/03/21,12
Adrian de la Garza,0,0,17/03/21,12
Adrian de la Garza,0,0,17/03/21,12
Adrian de la Garza,9.792,96,17/03/21,12
Adrian de la Garza,9.792,96,17/03/21,12
Adrian de la Garza,0,30,17/03/21,12
Adrian de la Garza,0,24,17/03/21,12
Adrian de la Garza,5.688,36,17/03/21,12
Adrian de la Garza,0,5,17/03/21,12
Adrian de la Garza,0,13,17/03/21,12
Adrian de la Garza,0.191,1,17/03/21,12
Adrian de la Garza,0,38,17/03/21,12
Adrian de la Garza,0.11,2,17/03/21,12
Adrian de la Garza,0,16,17/03/21,12
Adrian de la Garza,0,0,17/03/21,12
Adrian de la Garza,0,38,17/03/21,12
Adrian de la Garza,0,0,17/03/21,12
Adrian de la Garza,0,0,17/03/21,12
Adrian de la Garza,4.05,27,17/03/21,12
Adrian de la Garza,0,17,17/03/21,12
Adrian de la Garza,2.288,26,17/03/21,12
Adrian de la Garza,4.05,27,17/03/21,12
Adrian de la Garza,0,40,17/03/21,12
Adrian de la Garza,0,40,17/03/21,12
Adrian de la Garza,0,29,18/03/21,12
Adrian de la Garza,0,0,18/03/21,12
Adrian de la Garza,0,0,18/03/21,12
Adrian de la Garza,0,0,18/03/21,12
Adrian de la Garza,0,29,18/03/21,12
Adrian de la Garza,0,29,18/03/21,12
Adrian de la Garza,0,29,18/03/21,12
Adrian de la Garza,0,0,18/03/21,12
Adrian de la Garza,0,57,18/03/21,12
Adrian de la Garza,0.212,2,18/03/21,12
Adrian de la Garza,0,77,18/03/21,12
Adrian de la Garza,0,0,18/03/21,12
Adrian de la Garza,0,33,18/03/21,12
Adrian de la Garza,0,0,18/03/21,12
Adrian de la Garza,0,0,18/03/21,12
Adrian de la Garza,0,33,18/03/21,12
Adrian de la Garza,0,33,18/03/21,12
Adrian de la Garza,0,38,18/03/21,12
Adrian de la Garza,0,0,18/03/21,12
Adrian de la Garza,0,0,18/03/21,12
Adrian de la Garza,0,57,18/03/21,12
Adrian de la Garza,0,0,18/03/21,12
Adrian de la Garza,0,0,18/03/21,12
Adrian de la Garza,0,29,18/03/21,12
Adrian de la Garza,0,57,18/03/21,12
Adrian de la Garza,0,29,18/03/21,12
Adrian de la Garza,0,2,18/03/21,12
Adrian de la Garza,0,0,18/03/21,12
Adrian de la Garza,0,29,18/03/21,12
Adrian de la Garza,0,0,18/03/21,12
Adrian de la Garza,0,0,18/03/21,12
Adrian de la Garza,0,28,18/03/21,12
Adrian de la Garza,0,28,18/03/21,12
Adrian de la Garza,0,28,18/03/21,12
Adrian de la Garza,0,0,18/03/21,12
Adrian de la Garza,0.068,1,18/03/21,12
Adrian de la Garza,0,1,18/03/21,12
Adrian de la Garza,0,28,18/03/21,12
Adrian de la Garza,2.214,18,18/03/21,12
Adrian de la Garza,0,0,18/03/21,12
Adrian de la Garza,0,16,18/03/21,12
Adrian de la Garza,0,10,18/03/21,12
Adrian de la Garza,5.445,55,18/03/21,12
Adrian de la Garza,0,0,18/03/21,12
Adrian de la Garza,0,0,18/03/21,12
Adrian de la Garza,0,0,18/03/21,12
Adrian de la Garza,4.968,36,18/03/21,12
Adrian de la Garza,0,16,18/03/21,12
Adrian de la Garza,5.445,55,19/03/21,12
Adrian de la Garza,5.445,55,19/03/21,12
Adrian de la Garza,0,0,19/03/21,12
Adrian de la Garza,0,27,19/03/21,12
Adrian de la Garza,0,0,19/03/21,12
Adrian de la Garza,5.445,55,19/03/21,12
Adrian de la Garza,0,27,19/03/21,12
Adrian de la Garza,0,0,19/03/21,12
Adrian de la Garza,0,28,19/03/21,12
Adrian de la Garza,0,15,19/03/21,12
Adrian de la Garza,0,15,19/03/21,12
Adrian de la Garza,0,20,19/03/21,12
Adrian de la Garza,0,1,19/03/21,12
Adrian de la Garza,5.688,36,19/03/21,12
Adrian de la Garza,0,57,19/03/21,12
Adrian de la Garza,0,38,19/03/21,12
